s_id,MCA0,ACA0,MCA1,ACA1,MCA2,ACA2,MCV0,ACV0,MCV1,ACV1,MCV2,ACV2,MNA0,ANA0,MNA1,ANA1,MNA2,ANA2,MNV0,ANV0,MNV1,ANV1,MNV2,ANV2
87,571.265200000198,606.323476470339,601.060799999686,636.894296969386,429.153550001502,513.166479411559,536.588849998225,593.843197826019,569.604950000212,615.408617187086,500.296000001981,516.781100000177,380.918799997744,428.50470454571,398.268800003279,475.585927118442,384.150999998383,458.562748276093,436.023449998174,518.688201923606,425.855100002082,494.495241539083,472.558400000707,515.147014706171
88,618.842650088482,687.050655761805,722.017799969763,746.066918453345,553.231699857861,599.445634368749,590.455200057477,620.885813213393,580.940149957314,616.222992648973,587.658850010484,637.823819447981,477.108399849385,575.301394145023,498.551649972796,578.265711405714,484.296099981293,569.229241159252,447.312399977818,506.346603780809,487.141800113022,548.15835632961,397.247600019909,443.59805000325
89,553.829399868846,653.264575523837,545.764999929816,637.286872976267,567.481500096619,656.251320574323,381.240300135687,469.236197891308,468.391499947757,522.029584122171,458.234099904075,479.243977415946,363.670699996874,425.547560781934,369.879999896511,459.034553958133,438.114399905317,498.801408808076,351.896299980581,411.200169374102,339.755000080913,412.369198445231,315.949300071225,358.723582748067
93,615.059399977326,674.838322575011,598.578250035644,687.27966208914,517.672649817541,580.854859377723,578.133300179616,610.417916655058,617.113499902189,619.391886983067,555.752199841663,572.737391675926,469.554250128567,548.711755751775,507.583349943161,578.88034584337,422.897799871862,494.799408542791,540.741699747741,557.970032060765,569.782699923962,583.557138029276,503.85669991374,550.349088903103
94,762.302400078624,815.384727473572,943.540299776942,902.739221105536,612.322299741209,677.833254262805,827.215650118887,824.923346250284,753.234250005335,778.602195730699,691.787900170311,740.153944456122,508.438299875706,560.002665357807,491.620900342241,576.327264315582,551.669199950993,609.570367590469,545.869699912146,613.667048084048,616.663199849427,655.834744298564,583.174000028521,603.701611382088
95,471.126100048423,471.495987824732,470.72929982096,511.0409631835,430.614699842408,464.032010690841,377.503149909899,447.735811372034,391.960399923846,429.891908589494,394.614100223407,455.011017853394,386.342949932441,433.323727285659,371.342800091952,413.722255555469,386.831100098789,416.597944408379,350.431600119919,399.815474441925,348.704800009727,378.341533358029,353.473300114274,386.843267828226
98,464.725399389863,508.240494110128,533.679199405015,578.378435610128,489.278600085527,527.798488943113,465.585249941796,477.592407380817,541.682300157845,552.773731895655,426.406799815595,476.360214709797,382.408599834889,415.795481470586,392.026749905199,438.090554292181,405.807449948043,440.034519415349,386.012200266123,405.378692484689,353.586499579251,416.732833293887,370.842949487269,422.009783305435
99,370.078800000101,439.468985106409,519.133799999963,531.154750819645,555.990999999949,590.490226666642,376.834000000144,441.189762222191,384.812599999805,438.710343076918,410.901699999613,453.025851724204,356.370799999695,413.917841509464,414.47334999998,460.489633823493,413.688999999977,465.811815151476,408.454500000062,458.598398039229,383.730749999813,467.573689393903,413.787000000298,480.606891176495
101,709.472999995342,721.18517755096,606.586899986723,685.46278064464,664.272549998714,698.224428123467,625.512799975695,646.88801836776,615.71259998891,647.858240907557,578.739499993389,607.547387998784,416.512399999192,461.346163998824,481.96375000407,537.414780000108,424.658200005069,497.283397141811,454.979100002674,477.702582692123,466.125300008571,479.722150722502,461.762100021588,503.886884845666
102,583.380099997157,656.895860001096,600.229500007117,642.306190769887,500.757999980124,535.231877141632,661.268950003432,691.443496296415,669.765349986847,704.29860142966,655.640400000266,640.175502778018,400.87254998798,461.674700000283,386.724000010872,461.543238236439,379.124250001041,447.635288239005,477.294300013455,530.621613208358,454.468399984762,519.454009859236,464.838899992174,489.301108568075
103,501.642449991778,541.345671151738,649.345199999516,697.133132354579,556.553600006737,590.39714706031,475.010599999223,511.367069811556,445.238450003671,495.440556060533,480.780300014885,478.322447060183,578.029349999269,614.786166665403,595.546000025934,621.425921740635,504.582550012856,509.768477781715,445.860050007468,456.217646152744,402.262100018561,446.978210143836,424.712250009179,454.658286110013
104,916.061999974772,957.178040427413,1029.60200002417,1005.87039490988,930.951200018171,945.250449989024,698.906800011173,692.320580400216,691.03260000702,724.93370734703,619.159499998204,656.750768743223,536.378799995873,609.66574230294,566.6531000752,630.327692065048,556.715550017543,644.39489063443,457.088849972934,470.894304008689,437.594899907708,488.175485293408,456.710400059819,477.340130308276
106,855.257399962284,865.335218366045,930.983799975365,931.083466196892,816.928499960341,875.82054544085,762.131899944507,783.151055764532,760.458400007337,783.029121127058,705.696500022896,745.017345451439,742.030399967916,747.944913733769,725.562700070441,747.876249288183,694.61390003562,719.436929417391,696.048150013667,724.713438456932,641.931799938902,699.327983816415,608.13780000899,622.269469701375
107,500.588699942455,592.595577563102,643.019049952272,701.365467743017,631.086150009651,751.31097812482,519.116750045214,520.725491672541,554.165999987163,596.330199993053,612.205700017512,643.258968970321,438.022800022736,530.360499992226,439.57530008629,551.352123072586,378.061399969738,437.747866652596,398.80250004353,471.562229997944,434.831249935087,474.876916128015,428.730300045572,492.530436367925
111,428.183950018138,496.895887471813,430.536800064147,515.180273783073,403.903499944136,494.944179416908,526.612599962391,555.397935425087,520.312650129199,535.901022732794,557.495450018905,552.517367657,340.523400111124,364.684166683468,379.512549843639,439.316097054603,361.125549999997,415.030749988121,385.365300113335,403.491180408381,382.825700100511,421.668056728763,417.037450009957,479.014046875818
